hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,is_repeated_guest,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,reservation_status,reservation_status_date
Resort Hotel,0,3.42E+02,2015,July,27,1,0,0,2.00E+00,0,0,PRT,Direct,Direct,0,0,C,3,No Deposit,Transient,Check-Out,7/1/2015
Resort Hotel,0,7.37E+02,2015,July,27,1,0,0,2.00E+00,0,0,PRT,Direct,Direct,0,0,C,4,No Deposit,Transient,Check-Out,7/1/2015
Resort Hotel,0,7.00E+00,2015,July,27,1,0,1,1.00E+00,0,0,GBR,Direct,Direct,0,0,A,0,No Deposit,Transient,Check-Out,7/2/2015
Resort Hotel,0,1.30E+01,2015,July,27,1,0,1,1.00E+00,0,0,GBR,Corporate,Corporate,0,0,A,0,No Deposit,Transient,Check-Out,7/2/2015
Resort Hotel,0,1.40E+01,2015,July,27,1,0,2,2.00E+00,0,0,GBR,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,1.40E+01,2015,July,27,1,0,2,2.00E+00,0,0,GBR,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,0.00E+00,2015,July,27,1,0,2,2.00E+00,0,0,PRT,Direct,Direct,0,0,C,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,9.00E+00,2015,July,27,1,0,2,2.00E+00,0,0,PRT,Direct,Direct,0,0,C,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,1,8.50E+01,2015,July,27,1,0,3,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,5/6/2015
Resort Hotel,1,7.50E+01,2015,July,27,1,0,3,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,4/22/2015
Resort Hotel,1,2.30E+01,2015,July,27,1,0,4,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Canceled,6/23/2015
Resort Hotel,0,3.50E+01,2015,July,27,1,0,4,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,6.80E+01,2015,July,27,1,0,4,2.00E+00,0,0,USA,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,1.80E+01,2015,July,27,1,0,4,2.00E+00,1,0,ESP,Online TA,TA/TO,0,0,G,1,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,3.70E+01,2015,July,27,1,0,4,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,6.80E+01,2015,July,27,1,0,4,2.00E+00,0,0,IRL,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,3.70E+01,2015,July,27,1,0,4,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Contract,Check-Out,7/5/2015
Resort Hotel,0,1.20E+01,2015,July,27,1,0,1,2.00E+00,0,0,IRL,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/2/2015
Resort Hotel,0,0.00E+00,2015,July,27,1,0,1,2.00E+00,0,0,FRA,Corporate,Corporate,0,0,A,0,No Deposit,Transient,Check-Out,7/2/2015
Resort Hotel,0,7.00E+00,2015,July,27,1,0,4,2.00E+00,0,0,GBR,Direct,Direct,0,0,G,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,3.70E+01,2015,July,27,1,1,4,1.00E+00,0,0,GBR,Online TA,TA/TO,0,0,F,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,7.20E+01,2015,July,27,1,2,4,2.00E+00,0,0,PRT,Direct,Direct,0,0,A,1,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,7.20E+01,2015,July,27,1,2,4,2.00E+00,0,0,PRT,Direct,Direct,0,0,A,1,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,7.20E+01,2015,July,27,1,2,4,2.00E+00,0,0,PRT,Direct,Direct,0,0,D,1,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,1.27E+02,2015,July,27,1,2,5,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/1/2015
Resort Hotel,0,7.80E+01,2015,July,27,1,2,5,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/8/2015
Resort Hotel,0,4.80E+01,2015,July,27,1,2,5,2.00E+00,0,0,IRL,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/8/2015
Resort Hotel,1,6.00E+01,2015,July,27,1,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Canceled,5/11/2015
Resort Hotel,0,7.70E+01,2015,July,27,1,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/8/2015
Resort Hotel,0,9.90E+01,2015,July,27,1,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/8/2015
Resort Hotel,0,1.18E+02,2015,July,27,1,4,10,1.00E+00,0,0,NULL,Direct,Direct,0,0,A,2,No Deposit,Transient,Check-Out,7/15/2015
Resort Hotel,0,9.50E+01,2015,July,27,1,4,11,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/16/2015
Resort Hotel,1,9.60E+01,2015,July,27,1,2,8,2.00E+00,0,0,PRT,Direct,Direct,0,0,E,0,No Deposit,Transient,Canceled,5/29/2015
Resort Hotel,0,6.90E+01,2015,July,27,2,2,4,2.00E+00,0,0,IRL,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/8/2015
Resort Hotel,1,4.50E+01,2015,July,27,2,1,3,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,5/19/2015
Resort Hotel,1,4.00E+01,2015,July,27,2,1,3,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,6/19/2015
Resort Hotel,0,1.50E+01,2015,July,27,2,1,3,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,3.60E+01,2015,July,27,2,1,3,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,1,4.30E+01,2015,July,27,2,1,3,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,5/23/2015
Resort Hotel,0,7.00E+01,2015,July,27,2,2,3,2.00E+00,0,0,ROU,Direct,Direct,0,0,E,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,1,4.50E+01,2015,July,27,2,2,3,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,G,0,No Deposit,Transient,Canceled,5/18/2015
Resort Hotel,0,4.50E+01,2015,July,27,2,2,3,2.00E+00,0,0,IRL,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/7/2015
Resort Hotel,0,1.60E+01,2015,July,27,2,2,3,2.00E+00,0,0,ESP,Direct,Direct,0,0,F,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,7.00E+01,2015,July,27,2,2,3,2.00E+00,0,0,ROU,Direct,Direct,0,0,E,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,1.07E+02,2015,July,27,2,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/9/2015
Resort Hotel,1,4.70E+01,2015,July,27,2,2,5,2.00E+00,2,0,PRT,Online TA,TA/TO,0,0,G,0,No Deposit,Transient,Canceled,6/2/2015
Resort Hotel,0,9.60E+01,2015,July,27,2,2,5,2.00E+00,0,0,ESP,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/9/2015
Resort Hotel,0,1.13E+02,2015,July,27,2,2,5,2.00E+00,0,0,NOR,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Transient-Party,Check-Out,7/9/2015
Resort Hotel,0,9.00E+01,2015,July,27,2,2,5,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,A,1,No Deposit,Contract,Check-Out,7/9/2015
Resort Hotel,0,5.00E+01,2015,July,27,2,2,5,2.00E+00,0,0,IRL,Online TA,TA/TO,0,0,E,1,No Deposit,Transient,Check-Out,7/9/2015
Resort Hotel,0,1.13E+02,2015,July,27,2,2,5,2.00E+00,0,0,NOR,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient-Party,Check-Out,7/9/2015
Resort Hotel,0,9.30E+01,2015,July,27,2,3,8,2.00E+00,0,0,IRL,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Contract,Check-Out,7/13/2015
Resort Hotel,0,7.60E+01,2015,July,27,2,4,10,2.00E+00,0,0,OMN,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/16/2015
Resort Hotel,0,3.00E+00,2015,July,27,2,0,1,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,1.00E+00,2015,July,27,2,0,1,2.00E+00,0,0,ARG,Online TA,TA/TO,0,0,H,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,1.00E+00,2015,July,27,2,0,1,2.00E+00,2,0,ESP,Direct,Direct,0,0,C,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,0.00E+00,2015,July,27,2,0,1,2.00E+00,0,0,PRT,Direct,Direct,0,0,H,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,0.00E+00,2015,July,27,2,0,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,0.00E+00,2015,July,27,2,0,1,2.00E+00,0,0,PRT,Direct,Direct,0,0,G,0,No Deposit,Transient,Check-Out,7/3/2015
Resort Hotel,0,1.40E+01,2015,July,27,2,0,2,2.00E+00,0,0,USA,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,1.00E+01,2015,July,27,2,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,G,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,5.00E+00,2015,July,27,2,0,2,2.00E+00,0,0,IRL,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,1.70E+01,2015,July,27,2,0,3,2.00E+00,0,0,ESP,Direct,Direct,0,0,F,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,9.30E+01,2015,July,27,2,0,3,2.00E+00,0,0,IRL,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Contract,Check-Out,7/5/2015
Resort Hotel,1,3.00E+00,2015,July,27,2,0,3,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/29/2015
Resort Hotel,0,1.00E+01,2015,July,27,3,0,2,2.00E+00,2,0,USA,Online TA,TA/TO,0,0,G,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,3.00E+00,2015,July,27,3,0,2,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,5.10E+01,2015,July,27,3,0,2,2.00E+00,0,0,POL,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,1,7.10E+01,2015,July,27,3,0,2,3.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/16/2015
Resort Hotel,1,6.30E+01,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/18/2015
Resort Hotel,1,6.20E+01,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,7/3/2015
Resort Hotel,1,1.01E+02,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/12/2015
Resort Hotel,0,2.00E+00,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,1.50E+01,2015,July,27,3,0,2,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,1,5.10E+01,2015,July,27,3,0,2,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/9/2015
Resort Hotel,0,3.00E+00,2015,July,27,3,1,2,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,1,4.80E+01,2015,July,27,3,1,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Canceled,5/26/2015
Resort Hotel,0,2.00E+00,2015,July,27,3,2,2,1.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,7.20E+01,2015,July,27,3,2,2,2.00E+00,0,0,DEU,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,8.10E+01,2015,July,27,3,2,6,3.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,9.90E+01,2015,July,27,3,2,7,2.00E+00,0,0,FRA,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Contract,Check-Out,7/12/2015
Resort Hotel,1,3.68E+02,2015,July,27,3,3,7,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Contract,Canceled,5/19/2015
Resort Hotel,0,3.64E+02,2015,July,27,3,3,7,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Contract,Check-Out,7/13/2015
Resort Hotel,1,8.10E+01,2015,July,27,3,3,7,2.00E+00,0,0,PRT,Direct,Direct,0,0,A,2,No Deposit,Transient,Canceled,6/9/2015
Resort Hotel,0,9.90E+01,2015,July,27,3,3,7,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Contract,Check-Out,7/13/2015
Resort Hotel,0,3.24E+02,2015,July,27,3,4,10,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Contract,Check-Out,7/17/2015
Resort Hotel,0,6.90E+01,2015,July,27,3,4,10,2.00E+00,0,0,GBR,Online TA,TA/TO,0,0,F,1,No Deposit,Transient,Check-Out,7/17/2015
